turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
2,0.597,1.0,5,1,0.1503,0.8497,9,0,0.8497,0.7727,7.459,9,0
22,0.0,0.45,2,0,1.0,0.0,4,1,0.965,0.93,5.716,4,0
5,1.0,1.0,4,4,0.0604,0.9396,7,0,0.8018,0.6871,-8.815,7,0
1,1.0,1.0,5,8,0.0337,0.9663,24,0,0.3632,0.0293,31.543,24,0
10,0.575,1.0,4,4,0.0021,0.9979,8,0,0.9316,0.8819,-7.812,8,0
8,0.468,0.61,2,4,0.2616,0.7384,6,0,0.2655,0.0532,-0.352,9,1
5,0.0,1.0,5,0,1.0,0.0,0,1,0.3918,0.142,1.111,0,0
4,0.634,1.0,5,4,0.0001,0.9999,7,0,0.8149,0.6298,-8.441,7,0
11,0.379,1.0,3,1,0.0729,0.9271,9,0,0.9271,0.8773,-8.546,9,0
2,0.0,0.91,5,0,1.0,0.0,5,1,0.7771,0.6747,-2.365,1,1
23,1.0,0.45,1,4,0.0001,0.9999,9,0,0.97,0.941,10.465,9,0
2,0.605,0.68,5,4,0.1168,0.8832,8,0,0.7316,0.617,30.263,8,0
5,0.0,0.68,4,0,1.0,0.0,0,1,0.5163,0.2461,-13.878,0,0
10,0.0,0.73,4,0,1.0,0.0,5,1,0.6079,0.4252,-8.784,2,1
6,0.547,1.0,4,4,0.396,0.604,8,0,0.3993,0.1647,-4.183,8,0
5,0.187,0.5,5,4,0.0,1.0,8,0,0.9999,0.9998,-8.016,8,0
8,0.0,0.51,2,0,1.0,0.0,2,1,0.8305,0.661,-4.053,2,0
11,0.0,0.17,3,0,1.0,0.0,1,1,0.8523,0.7494,-6.429,1,0
3,1.0,0.91,4,4,0.0905,0.9095,8,0,0.5073,0.2644,2.901,8,0
11,0.877,0.73,3,4,0.5173,0.4827,4,1,0.4584,0.2089,-7.633,9,1
6,1.0,0.68,3,4,0.5526,0.4474,3,1,0.4545,0.2227,-9.02,3,0
3,0.13,0.56,5,4,0.3174,0.6826,8,0,0.4701,0.3515,26.484,7,1
6,0.366,0.93,4,0,1.0,0.0,1,1,0.3157,0.0004,0.77,3,1
9,1.0,0.51,1,4,0.0442,0.9558,6,0,0.3816,0.1154,-1.764,6,0
5,0.0,0.41,5,0,1.0,0.0,1,1,0.9838,0.973,-11.967,1,0
1,1.0,1.0,5,8,0.0001,0.9999,25,0,0.6596,0.3194,-20.052,25,0
12,0.228,0.17,2,4,0.0508,0.9492,9,0,0.6326,0.3309,1.737,9,0
3,0.0,0.81,4,0,1.0,0.0,1,1,0.3935,0.0949,-5.345,2,1
6,0.0,0.68,3,0,1.0,0.0,2,1,0.4324,0.1187,-13.049,0,1
11,0.0,0.73,3,0,1.0,0.0,2,1,0.4947,0.2409,-12.97,5,1
