turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
6,1.0,0.95,4,4,0.0407,0.9593,8,0,0.8973,0.8379,-0.69,8,0
4,0.068,0.32,5,4,0.0075,0.9925,6,0,0.8016,0.6174,-18.878,7,1
18,0.929,0.61,1,4,0.0004,0.9996,7,0,0.9934,0.9897,-31.905,7,0
11,0.0,0.0,5,0,1.0,0.0,3,1,0.6857,0.5465,-22.869,3,0
1,1.0,1.0,5,8,0.0004,0.9996,25,0,0.8897,0.7863,-10.234,25,0
3,0.129,0.63,5,4,0.4078,0.5922,9,0,0.2326,0.0002,-7.773,7,1
5,0.061,0.5,3,1,0.0544,0.9456,6,0,0.9456,0.8929,-21.133,6,0
19,0.341,0.38,1,4,0.0013,0.9987,7,0,0.9883,0.984,-32.421,7,0
12,0.594,1.0,4,4,0.0168,0.9832,6,0,0.8732,0.7641,-22.025,6,0
3,0.0,0.33,5,0,1.0,0.0,1,1,0.691,0.4121,-1.624,1,0
7,1.0,1.0,4,4,0.1419,0.8581,7,0,0.8118,0.6758,0.149,7,0
5,0.068,1.0,5,4,0.0969,0.9031,8,0,0.7913,0.7344,-19.869,8,0
19,0.0,0.13,1,0,1.0,0.0,1,1,1.0,1.0,-32.816,1,0
12,0.594,0.64,4,0,1.0,0.0,0,1,0.3515,0.0163,-21.993,5,1
4,1.0,0.33,4,4,0.1192,0.8808,7,0,0.4905,0.1159,-2.593,7,0
2,0.587,1.0,5,4,0.2711,0.7289,9,0,0.6132,0.4783,-23.202,9,0
6,0.061,1.0,3,1,0.0065,0.9935,6,0,0.9935,0.9874,-17.617,6,0
1,1.0,1.0,5,8,0.5864,0.4136,4,1,0.5807,0.382,-17.786,4,0
8,0.037,0.92,4,4,0.1192,0.8808,7,0,0.7532,0.648,-4.162,7,0
5,0.0,0.91,5,0,1.0,0.0,3,1,0.6131,0.471,-13.738,3,0
20,0.539,0.13,0,4,0.0,1.0,8,0,0.4968,0.2153,-32.344,8,0
13,1.0,0.7,4,4,0.2101,0.7899,9,0,0.7047,0.5219,-15.218,9,0
4,0.0,0.33,4,0,1.0,0.0,5,1,0.7335,0.5051,-5.567,5,0
2,0.0,1.0,5,0,1.0,0.0,4,1,0.4124,0.1596,-22.709,2,1
6,0.0,0.32,3,0,1.0,0.0,1,1,0.7855,0.5724,-1.589,3,1
1,0.0,1.0,5,0,1.0,0.0,3,1,0.415,0.0938,-12.948,3,0
8,0.0,0.84,4,0,1.0,0.0,5,1,0.9028,0.8353,-4.967,5,0
6,1.0,0.91,4,4,0.0834,0.9166,7,0,0.7123,0.5585,-15.258,7,0
21,0.087,0.13,0,1,0.0,1.0,8,0,1.0,1.0,-32.879,8,0
5,1.0,0.33,3,4,0.2454,0.7546,7,0,0.4723,0.2407,-8.325,7,0
14,1.0,0.12,4,4,0.0133,0.9867,7,0,0.8996,0.8313,-16.937,7,0
3,1.0,1.0,4,4,0.0222,0.9778,9,0,0.9467,0.9162,-24.232,9,0
7,1.0,0.32,2,4,0.0003,0.9997,6,0,0.9961,0.9942,0.154,6,0
2,1.0,1.0,4,8,0.1128,0.8872,24,0,0.4473,0.2239,-17.846,24,0
9,1.0,0.84,3,4,0.1685,0.8315,7,0,0.5527,0.3649,-1.93,7,0
7,0.026,0.91,4,4,0.2505,0.7495,7,0,0.3942,0.1536,-19.408,7,0
1,1.0,1.0,5,8,0.1767,0.8233,25,0,0.3097,0.0963,-23.735,25,0
6,0.018,0.03,3,4,0.3138,0.6862,7,0,0.308,0.0045,-13.805,7,0
2,0.0,0.71,4,0,1.0,0.0,0,1,0.5956,0.2471,-17.271,0,0
10,0.684,0.9,3,4,0.209,0.791,7,0,0.4582,0.2527,-3.354,7,0
7,0.0,0.91,4,0,1.0,0.0,5,1,0.4131,0.1508,-12.797,5,0
