turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
8,1.0,0.33,3,4,0.0969,0.9031,6,0,0.5526,0.3306,-7.649,6,0
11,0.697,1.0,5,4,0.0002,0.9998,9,0,0.9985,0.9974,1.324,9,0
3,1.0,1.0,4,4,0.5189,0.4811,7,0,0.2031,0.0147,-24.122,7,0
7,0.071,0.3,5,4,0.0074,0.9926,7,0,0.9872,0.9819,20.378,7,0
2,0.709,0.15,5,2,0.2019,0.7981,7,0,0.437,0.076,-12.641,23,1
8,0.354,0.84,3,4,0.0334,0.9666,7,0,0.9636,0.9302,-32.035,7,0
5,0.797,1.0,4,4,0.216,0.784,8,0,0.6178,0.5205,-18.348,8,0
3,0.0,0.58,4,0,1.0,0.0,2,1,0.7741,0.5819,-22.337,3,1
12,0.008,0.76,5,4,0.0004,0.9996,9,0,0.999,0.9983,0.88,9,0
1,1.0,1.0,5,8,0.5184,0.4816,4,1,0.2029,0.0091,-3.069,4,0
26,0.728,1.0,1,3,0.0717,0.9283,8,0,0.5382,0.2245,-33.669,8,0
7,0.0,0.36,5,0,1.0,0.0,3,1,0.462,0.1361,16.83,1,1
9,0.257,0.67,3,4,0.0325,0.9675,7,0,0.9499,0.9174,-32.135,7,0
6,0.603,0.77,4,4,0.1911,0.8089,8,0,0.5406,0.3764,-17.983,8,0
4,1.0,0.58,3,4,0.3249,0.6751,8,0,0.3652,0.1902,-25.704,8,0
9,1.0,1.0,3,1,0.9983,0.0017,4,1,0.9693,0.9455,-22.407,4,0
2,0.645,1.0,5,8,0.0495,0.9505,22,0,0.5714,0.2572,-3.133,22,0
27,0.897,1.0,1,3,0.0787,0.9213,8,0,0.5786,0.3169,-33.689,8,0
12,0.0,0.55,5,0,1.0,0.0,1,1,1.0,0.9999,0.783,1,0
8,1.0,0.36,4,4,0.2163,0.7837,6,0,0.4638,0.2076,15.249,6,0
3,0.709,1.0,5,2,0.7031,0.2969,1,1,0.695,0.4922,-12.255,1,0
10,0.16,0.52,3,4,0.0085,0.9915,7,0,0.9652,0.9389,-31.695,7,0
7,0.4,0.52,4,4,0.213,0.787,8,0,0.3724,0.0956,-17.614,8,0
5,0.896,0.44,3,4,0.2734,0.7266,8,0,0.4001,0.252,-25.317,8,0
13,1.0,0.55,4,4,0.0003,0.9997,8,0,0.816,0.6712,3.748,8,0
10,0.343,1.0,3,4,0.0981,0.9019,6,0,0.4408,0.0127,-19.305,6,0
3,0.331,0.68,5,4,0.2513,0.7487,6,0,0.3464,0.1441,-6.477,6,0
9,0.488,0.23,4,4,0.3822,0.6178,9,0,0.2717,0.0638,14.848,6,1
28,1.0,1.0,1,4,0.085,0.915,8,0,0.5019,0.3114,-31.19,8,0
4,1.0,1.0,5,8,0.1539,0.8461,23,0,0.4711,0.2223,-5.341,23,0
10,0.0,0.35,3,0,1.0,0.0,0,1,0.9919,0.9863,-29.053,0,0
1,1.0,1.0,5,8,0.7272,0.2728,3,1,0.248,0.0024,-14.491,3,0
6,0.781,0.29,3,4,0.2419,0.7581,8,0,0.35,0.1248,-24.862,8,0
